MSSubClass,MSZoning,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,BsmtFinType1,KitchenQual,Functional,SaleType,SaleCondition,SalePrice
60,6,0,1,1,1,1,1,6,1,4,1,2,1,1,1,208500
20,6,0,1,1,1,4,1,25,1,1,2,3,1,1,1,181500
60,6,0,2,1,1,1,1,6,1,4,1,2,1,1,1,223500
70,6,0,2,1,1,2,1,7,1,4,2,2,1,1,2,140000
60,6,0,2,1,1,4,1,14,1,4,1,2,1,1,1,250000
50,6,0,2,1,1,1,1,12,1,2,1,3,1,1,1,143000
20,6,0,1,1,1,1,1,22,1,1,1,2,1,1,1,307000
60,6,0,2,1,1,2,1,17,1,4,2,3,1,1,1,200000
50,8,0,1,1,1,1,1,18,1,2,6,3,2,1,2,129900
190,6,0,1,1,1,2,1,4,2,3,1,3,1,1,1,118000
20,6,0,1,1,1,1,1,20,1,1,4,3,1,1,1,129500
60,6,0,2,1,1,1,1,16,1,4,1,1,1,4,6,345000
20,6,0,3,1,1,1,1,20,1,1,2,3,1,1,1,144000
20,6,0,2,1,1,1,1,6,1,1,6,2,1,4,6,279500
20,6,0,2,1,1,2,1,13,1,1,3,3,1,1,1,157000
45,8,0,1,1,1,2,1,4,1,3,6,3,1,1,1,132000
20,6,0,2,1,1,6,1,13,1,1,2,3,1,1,1,149000
90,6,0,1,1,1,1,1,20,3,1,7,3,1,1,1,90000
20,6,0,1,1,1,1,1,21,1,1,1,2,1,1,1,159000
20,6,0,1,1,1,1,1,13,1,1,5,3,2,5,2,139000
60,6,0,2,1,1,2,1,16,1,4,6,2,1,4,6,325300
45,8,2,1,2,1,1,1,10,1,3,6,2,1,1,1,139400
20,6,0,1,1,1,1,1,6,1,1,6,2,1,1,1,230000
120,8,0,1,1,1,1,1,11,4,1,1,3,1,1,1,129900
20,6,0,2,1,1,1,1,20,1,1,4,2,1,1,1,154000
20,6,0,1,1,1,2,1,16,1,1,6,2,1,1,1,256300
20,6,0,1,1,1,2,1,13,1,1,3,2,1,1,1,134800
20,6,0,1,1,1,1,1,16,1,1,1,2,1,1,1,306000
20,6,0,2,1,1,6,1,13,1,1,3,3,1,1,1,207500
30,8,0,2,1,1,1,1,4,1,1,6,4,1,1,1,68500
70,2,1,1,1,1,1,1,10,1,4,6,3,1,1,1,40000
20,6,0,2,1,1,6,1,20,1,1,6,2,1,1,1,149350
20,6,0,1,1,1,2,1,6,1,1,6,2,1,1,1,179900
20,6,0,2,1,1,1,1,13,1,1,4,2,1,1,1,165500
120,6,0,1,1,1,1,1,16,4,1,1,1,1,1,1,277500
60,6,0,1,1,1,1,1,16,1,4,6,2,1,1,1,309000
20,6,0,1,1,1,2,1,6,1,1,6,3,1,1,1,145000
20,6,0,1,1,1,1,1,13,1,1,4,3,1,1,1,153000
20,6,0,1,1,1,1,1,13,1,1,1,2,1,1,2,109000
90,6,0,1,1,1,1,1,8,3,1,7,4,1,1,3,82000
20,6,0,1,1,1,1,1,13,1,1,4,3,1,1,2,160000
20,6,0,1,1,1,1,1,24,1,1,3,3,1,1,1,170000
85,6,0,2,1,1,6,1,21,1,7,2,2,1,1,1,144000
20,6,0,2,1,1,6,1,6,1,1,5,3,1,1,1,130250
20,6,0,1,1,1,1,1,13,1,1,2,3,1,1,1,141000
120,6,0,1,1,1,1,1,16,4,1,1,1,1,1,1,319900
50,6,0,2,1,1,6,1,12,1,2,1,2,1,1,2,239686
20,3,0,1,1,1,1,1,22,1,1,1,2,1,1,1,249700
190,8,0,1,1,1,1,1,18,2,4,6,3,1,4,6,113000
20,6,0,1,1,1,1,1,20,1,1,3,3,1,1,1,127000
60,6,0,3,1,1,2,1,9,1,4,1,3,1,1,1,177000
50,8,0,1,1,1,1,1,4,1,2,6,3,1,1,1,114500
90,8,0,3,2,1,2,2,10,3,1,5,3,1,1,1,110000
20,6,0,2,4,1,1,1,25,1,1,1,2,1,1,1,385000
80,6,0,1,2,1,1,2,13,1,8,2,3,2,1,1,130000
20,6,0,2,1,1,1,1,13,1,1,3,3,1,1,1,180500
160,3,1,1,1,1,1,1,22,5,4,1,2,1,1,2,172500
60,6,0,2,1,1,2,1,6,1,4,6,2,1,1,1,196500
60,6,0,3,3,1,6,1,23,1,4,6,2,1,4,6,438780
20,6,0,1,2,1,1,1,6,1,1,2,3,1,1,1,124900
20,6,0,1,1,1,1,1,21,1,1,2,2,1,4,6,158000
75,8,0,1,1,1,1,1,10,1,6,6,4,1,1,1,101000
120,6,0,2,1,1,1,1,16,4,1,1,2,1,1,1,202500
70,8,0,2,2,1,1,1,18,1,4,6,3,1,1,1,140000
60,6,0,1,1,1,1,1,6,1,4,1,2,1,1,1,219500
60,6,0,1,1,1,1,1,16,1,4,6,2,1,1,1,317000
20,6,0,1,1,1,1,1,13,1,1,1,3,2,1,1,180000
20,6,0,2,1,1,1,1,6,1,1,1,2,1,1,1,226000
30,8,0,1,1,1,2,1,18,1,1,6,3,1,1,1,80000
50,6,0,1,1,1,2,1,5,1,2,3,3,1,1,1,225000
20,6,0,2,1,1,1,1,13,1,1,2,3,1,1,1,244000
20,6,0,1,1,1,2,1,12,1,1,2,3,1,1,1,129500
60,6,0,2,1,1,2,1,9,1,4,6,3,1,1,1,185000
20,6,0,1,1,1,1,1,13,1,1,2,3,1,1,1,144900
50,8,0,1,1,1,2,1,18,1,4,6,3,1,1,1,107400
180,8,0,1,1,1,1,1,11,5,8,1,3,1,1,1,91000
20,6,0,2,1,1,1,1,13,1,1,2,3,1,1,1,135750
50,8,0,1,1,1,1,1,4,1,2,3,3,2,1,1,127000
90,6,0,1,1,1,1,1,20,3,1,6,3,1,1,1,136500
50,8,2,1,1,1,2,1,18,1,4,6,3,1,1,1,110000
60,6,0,1,1,1,2,1,13,1,4,4,2,1,1,1,193500
120,8,0,1,1,1,4,1,12,4,1,1,3,1,1,1,153500
20,6,0,1,1,1,1,1,22,1,1,1,2,1,1,1,245000
20,6,0,2,1,1,1,1,13,1,1,6,3,1,5,1,126500
80,6,0,2,1,1,1,1,9,1,8,6,3,1,1,1,168500
60,6,0,1,1,1,2,1,14,1,4,6,2,1,1,1,260000
60,6,0,3,1,1,1,1,9,1,4,6,2,1,1,1,174000
160,3,1,1,1,1,2,1,22,4,4,6,2,1,4,6,164500
50,2,0,2,1,1,2,1,10,1,2,6,4,1,9,2,85000
20,6,0,1,1,1,1,1,6,1,1,1,3,1,1,1,123600
20,6,0,1,1,1,1,1,13,1,1,7,3,1,1,1,109900
20,6,0,1,1,1,1,1,13,1,1,4,3,1,1,2,98600
30,6,2,2,3,1,1,1,7,1,1,2,3,1,1,1,163500
190,2,0,1,1,1,2,1,18,2,6,4,3,1,1,1,133900
60,6,0,2,1,1,1,1,6,1,4,1,2,1,1,1,204750
60,6,0,3,1,1,2,1,9,1,4,2,3,1,1,1,185000
20,6,0,2,1,1,1,1,6,1,1,2,2,1,1,1,214000
