LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,Street,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MoSold,SaleCondition,LotShape,Neighborhood,SaleType,LotConfig,LandContour,SalePrice
65.0,8450,7,2003,2003,1,196.0,706,150,856,1,856,854,1710,1,2,1,3,8,0,2003.0,2,548,0,61,0,0,0,0.0,2,1,1,6,1,1,1,208500
80.0,9600,6,1976,1976,1,0.0,978,284,1262,1,1262,0,1262,0,2,0,3,6,1,1976.0,2,460,298,0,0,0,0,0.0,5,1,1,25,1,4,1,181500
68.0,11250,7,2001,2002,1,162.0,486,434,920,1,920,866,1786,1,2,1,3,6,1,2001.0,2,608,0,42,0,0,0,0.0,9,1,2,6,1,1,1,223500
60.0,9550,7,1915,1970,1,0.0,216,540,756,1,961,756,1717,1,1,0,3,7,1,1998.0,3,642,0,35,0,0,0,0.0,2,2,2,7,1,2,1,140000
84.0,14260,8,2000,2000,1,350.0,655,490,1145,1,1145,1053,2198,1,2,1,4,9,1,2000.0,3,836,192,84,0,0,0,0.0,12,1,2,14,1,4,1,250000
85.0,14115,5,1993,1995,1,0.0,732,64,796,1,796,566,1362,1,1,1,1,5,0,1993.0,2,480,40,30,320,0,0,0.0,10,1,2,12,1,1,1,143000
75.0,10084,8,2004,2005,1,186.0,1369,317,1686,1,1694,0,1694,1,2,0,3,7,1,2004.0,2,636,255,57,0,0,0,0.0,8,1,1,22,1,1,1,307000
70.04,10382,7,1973,1973,1,240.0,859,216,1107,1,1107,983,2090,1,2,1,3,7,2,1973.0,2,484,235,204,0,0,0,0.0,11,1,2,17,1,2,1,200000
51.0,6120,7,1931,1950,1,0.0,0,952,952,1,1022,752,1774,0,2,0,2,8,2,1931.0,2,468,90,0,0,0,0,0.0,4,2,1,18,1,1,1,129900
50.0,7420,5,1939,1950,1,0.0,851,140,991,1,1077,0,1077,1,1,0,2,5,2,1939.0,1,205,0,4,0,0,0,0.0,1,1,1,4,1,2,1,118000
70.0,11200,5,1965,1965,1,0.0,906,134,1040,1,1040,0,1040,1,1,0,3,5,0,1965.0,1,384,0,0,0,0,0,0.0,2,1,1,20,1,1,1,129500
85.0,11924,9,2005,2006,1,286.0,998,177,1175,1,1182,1142,2324,1,3,0,4,11,2,2005.0,3,736,147,21,0,0,0,0.0,7,6,2,16,4,1,1,345000
70.04,12968,5,1962,1962,1,0.0,737,175,912,1,912,0,912,1,1,0,2,4,0,1962.0,1,352,140,0,0,176,0,0.0,9,1,3,20,1,1,1,144000
91.0,10652,7,2006,2007,1,306.0,0,1494,1494,1,1494,0,1494,0,2,0,3,7,1,2006.0,3,840,160,33,0,0,0,0.0,8,6,2,6,4,1,1,279500
70.04,10920,6,1960,1960,1,212.0,733,520,1253,1,1253,0,1253,1,1,1,2,5,1,1960.0,1,352,0,213,0,0,0,0.0,5,1,2,13,1,2,1,157000
51.0,6120,7,1929,2001,1,0.0,0,832,832,1,854,0,854,0,1,0,2,5,0,1991.0,2,576,48,112,0,0,0,0.0,7,1,1,4,1,2,1,132000
70.04,11241,6,1970,1970,1,180.0,578,426,1004,1,1004,0,1004,1,1,0,2,5,1,1970.0,2,480,0,0,0,0,0,0.0,3,1,2,13,1,6,1,149000
72.0,10791,4,1967,1967,1,0.0,0,0,0,1,1296,0,1296,0,2,0,2,6,0,1967.0,2,516,0,0,0,0,0,0.0,10,1,1,20,1,1,1,90000
66.0,13695,5,2004,2004,1,0.0,646,468,1114,1,1114,0,1114,1,1,1,3,6,0,2004.0,2,576,0,102,0,0,0,0.0,6,1,1,21,1,1,1,159000
70.0,7560,5,1958,1965,1,0.0,504,525,1029,1,1339,0,1339,0,1,0,3,6,0,1958.0,1,294,0,0,0,0,0,0.0,5,2,1,13,5,1,1,139000
101.0,14215,8,2005,2006,1,380.0,0,1158,1158,1,1158,1218,2376,0,3,1,4,9,1,2005.0,3,853,240,154,0,0,0,0.0,11,6,2,16,4,2,1,325300
57.0,7449,7,1930,1950,1,0.0,0,637,637,1,1108,0,1108,0,1,0,3,6,1,1930.0,1,280,0,0,0,0,0,0.0,6,1,1,10,1,1,2,139400
75.0,9742,8,2002,2002,1,281.0,0,1777,1777,1,1795,0,1795,0,2,0,3,7,1,2002.0,2,534,171,159,0,0,0,0.0,9,1,1,6,1,1,1,230000
44.0,4224,5,1976,1976,1,0.0,840,200,1040,1,1060,0,1060,1,1,0,3,6,1,1976.0,2,572,100,110,0,0,0,0.0,6,1,1,11,1,1,1,129900
70.04,8246,5,1968,2001,1,0.0,188,204,1060,1,1060,0,1060,1,1,0,3,6,1,1968.0,1,270,406,90,0,0,0,0.0,5,1,2,20,1,1,1,154000
110.0,14230,8,2007,2007,1,640.0,0,1566,1566,1,1600,0,1600,0,2,0,3,7,1,2007.0,3,890,0,56,0,0,0,0.0,7,1,1,16,1,2,1,256300
60.0,7200,5,1951,2000,1,0.0,234,180,900,1,900,0,900,0,1,0,3,5,0,2005.0,2,576,222,32,0,0,0,0.0,5,1,1,13,1,2,1,134800
98.0,11478,8,2007,2008,1,200.0,1218,486,1704,1,1704,0,1704,1,2,0,3,7,1,2008.0,3,772,0,50,0,0,0,0.0,5,1,1,16,1,1,1,306000
47.0,16321,5,1957,1997,1,0.0,1277,207,1484,1,1600,0,1600,1,1,0,2,6,2,1957.0,1,319,288,258,0,0,0,0.0,12,1,2,13,1,6,1,207500
60.0,6324,4,1927,1950,1,0.0,0,520,520,0,520,0,520,0,1,0,1,4,0,1920.0,1,240,49,0,0,0,0,0.0,5,1,2,4,1,1,1,68500
50.0,8500,4,1920,1950,1,0.0,0,649,649,0,649,668,1317,0,1,0,3,6,0,1920.0,1,250,0,54,0,0,0,0.0,7,1,1,10,1,1,1,40000
70.04,8544,5,1966,2006,1,0.0,0,1228,1228,1,1228,0,1228,0,1,1,3,6,0,1966.0,1,271,0,65,0,0,0,0.0,6,1,2,20,1,6,1,149350
85.0,11049,8,2007,2007,1,0.0,0,1234,1234,1,1234,0,1234,0,2,0,3,7,0,2007.0,2,484,0,30,0,0,0,0.0,1,1,1,6,1,2,1,179900
70.0,10552,5,1959,1959,1,0.0,1018,380,1398,1,1700,0,1700,0,1,1,4,6,1,1959.0,2,447,0,38,0,0,0,0.0,4,1,2,13,1,1,1,165500
60.0,7313,9,2005,2005,1,246.0,1153,408,1561,1,1561,0,1561,1,2,0,2,6,1,2005.0,2,556,203,47,0,0,0,0.0,8,1,1,16,1,1,1,277500
108.0,13418,8,2004,2005,1,132.0,0,1117,1117,1,1132,1320,2452,0,3,1,4,9,1,2004.0,3,691,113,32,0,0,0,0.0,9,1,1,16,1,1,1,309000
112.0,10859,5,1994,1995,1,0.0,0,1097,1097,1,1097,0,1097,0,1,1,3,6,0,1995.0,2,672,392,64,0,0,0,0.0,6,1,1,6,1,2,1,145000
74.0,8532,5,1954,1990,1,650.0,1213,84,1297,1,1297,0,1297,0,1,0,3,5,1,1954.0,2,498,0,0,0,0,0,0.0,10,1,1,13,1,1,1,153000
68.0,7922,5,1953,2007,1,0.0,731,326,1057,1,1057,0,1057,1,1,0,3,5,0,1953.0,1,246,0,52,0,0,0,0.0,1,2,1,13,1,1,1,109000
65.0,6040,4,1955,1955,1,0.0,0,0,0,0,1152,0,1152,0,2,0,2,6,0,0.0,0,0,0,0,0,0,0,0.0,6,3,1,8,1,1,1,82000
84.0,8658,6,1965,1965,1,101.0,643,445,1088,1,1324,0,1324,0,2,0,3,6,1,1965.0,2,440,0,138,0,0,0,0.0,12,2,1,13,1,1,1,160000
115.0,16905,5,1959,1959,1,0.0,967,383,1350,1,1328,0,1328,0,1,1,2,5,2,1959.0,1,308,0,104,0,0,0,0.0,7,1,1,24,1,1,1,170000
70.04,9180,5,1983,1983,1,0.0,747,0,840,1,884,0,884,1,1,0,2,5,0,1983.0,2,504,240,0,0,0,0,0.0,12,1,2,21,1,6,1,144000
70.04,9200,5,1975,1980,1,0.0,280,167,938,1,938,0,938,1,1,0,3,5,0,1977.0,1,308,145,0,0,0,0,0.0,7,1,2,6,1,6,1,130250
70.0,7945,5,1959,1959,1,0.0,179,465,1150,1,1150,0,1150,1,1,0,3,6,0,1959.0,1,300,0,0,0,0,0,0.0,5,1,1,13,1,1,1,141000
61.0,7658,9,2005,2005,1,412.0,456,1296,1752,1,1752,0,1752,1,2,0,2,6,1,2005.0,2,576,196,82,0,0,0,0.0,2,1,1,16,1,1,1,319900
48.0,12822,7,2003,2003,1,0.0,1351,83,1434,1,1518,631,2149,1,1,1,1,6,1,2003.0,2,670,168,43,0,198,0,0.0,8,2,2,12,1,6,1,239686
84.0,11096,8,2006,2006,1,0.0,24,1632,1656,1,1656,0,1656,0,2,0,3,7,0,2006.0,3,826,0,146,0,0,0,0.0,7,1,1,22,1,1,1,249700
33.0,4456,4,1920,2008,1,0.0,0,736,736,1,736,716,1452,0,2,0,2,8,0,0.0,0,0,0,0,0,0,0,0.0,6,6,1,18,4,1,1,113000
66.0,7742,5,1966,1966,1,0.0,763,192,955,1,955,0,955,1,1,0,3,6,0,1966.0,1,386,0,0,0,0,0,0.0,1,1,1,20,1,1,1,127000
70.04,13869,6,1997,1997,1,0.0,182,612,794,1,794,676,1470,0,2,0,3,6,0,1997.0,2,388,0,75,0,0,0,0.0,7,1,3,9,1,2,1,177000
52.0,6240,6,1934,1950,1,0.0,0,816,816,1,816,0,1176,0,1,0,3,6,1,1985.0,2,528,112,0,0,0,0,0.0,9,1,1,4,1,1,1,114500
110.0,8472,5,1963,1963,0,0.0,104,0,816,0,816,0,816,1,1,0,2,5,0,1963.0,2,516,106,0,0,0,0,0.0,5,1,3,10,1,2,2,110000
